text,keyword,language
bjp criminal modi lead party gugrat crimes that needs banned all member countries,election,English
dont think should believe these commentsthey seem comment and last they join hands oppose modi centremay they are trying weed out the antiincumbency that may grow aroundif they seem roam around unitedshould cautious this,election,English
"you are the best
anything good how can modi take the credit
anything bad modi the only person responsible superb hats off you",election,English
you too fell the trap social media run modi bashing seems once aap launched you into free space orbit you still are orbiting aimlessly now you dear the asat coming and smashing you your spacial ideology stop modi bashing you will appreciated,election,English
"congratulations sir thank making vibrant northeast happened because you team modi
because good governance under the leadership modiji and hard work you well today not only india but world also knows what the potential our northeast states have",election,English
show the proof that modi promised lakh for every family will transfer 1000 your account every monthdont miss this chance,election,English
budgam indian missile fired before mi17 chopper crash the killer modi killed its own officers ⁦⁦,election,English
native its small village all are middle class lower class family who are innocent living simple life they are having very good opinion abour modi govt this made happy,election,English
dear all concern pls follow modi instruction save our natiom,election,English
people like are curse this nation being army officer should teach the people this nation discipline was taught army but accidentally this man horrible and big bustard modi,election,English
along side can also ans what happen modi care insurance policy announced last budget what happen smart cityy jobs sell airports adani 100 fdi where black money data what saza should give you 50days over plz come the choraha,election,English
but since when became judge may influenced pil guru obtaining permission each citizen’ right and responsibility stop theatrics and hype about how great obsession malign modi and freebies govt upa era making look bad,election,English
all those who worship modi should know other was ridiculed much the current other made fool himself much the current one has,election,English
"congress stalwarts including party president are deeply upset
india has achieved unique feat during bjp rule they are just not able digest not surprising that congress president
has mocked undignified way",election,English
"east west modi best
north south
chowkidar has doubt",election,English
world over country votes for individual putin obamatrumphillary nelson mandela indirarajivatal and will continue partiescompaniesgroups are createdbroken due leaders rest all constant individual capability that drive output dont modimanmohan,election,English
congratulations modi,election,English
only people who fools can believe looters who have looted for decades dont want any more looters rule this country will definitely vote modi and encourage others going modi alone,election,English
you can chose just one statement and ignore all other and partially agree with him though not all but many who are anti modi wouldn’ mind taking anti national stand just oppose modi,election,English
miss you dodo really how compared weekends miss modi,election,English
now know who spread the truth about modi jee fetching the ball from croc infested river,election,English
where 125 lakh crore which modi was promised bihar where special status for bihar which was promised and talking about which power power goons,election,English
case accused seen sitting front row rally,election,English
modi one side rahul gandhi the other side ’ like comparing world class leader clown,election,English
pure gem campaigning and supporting not only supporting him but also the very idea india taking giant strides global stage largely because his policies and sheer commitment,election,English
you dont need worry rahul will fulfil promises unlike modi,election,English
have gut feeling that the bjp and modi will win absolute majority the 2020 elections,election,English
can understand the reason for her heartburn has modi really taken credit she claims hes been all praise for the scientists involved the great job people give credit modi its not his fault should take credit for central schemes little confused,election,English
tbh todays public proclamation more modi inspiring indians dream bigjust like jfk did over space race than expecting any political gains the biggest usp modis campaign that both positive attacking nature instead solely negative like thugbandhan,election,English
"tejasvi the view that modi and the indian state can interchangeable
devotion modi devotion india his themejust rewards for this for his fevered hindutva views not surprising for him
modinationhindutva his narrative",election,English
