text,keyword,language
sir also staunch modi supporter but you should give credit our drdo scientists also,election,English
aloo factory productions ,election,English
because they are pigs who were born raised lutyens poop they have been habituated eating sweet liberal tatti bcoz they cant digest bitter truth modis success,election,English
"indian modi plans national broadcast wednesday
",election,English
narendra modi spearhead bjps election campaign chhattisgarh ⚡ ,election,English
who responsible modi did fired ,election,English
feel when bjp wins 23rd may and modi becomes pmyoure gonna the saddest woman the planet gonna tag you and ask your wellbeing though,election,English
atleast today for once modi must thank nehru that invested building institutions like isro drdo and not gaushalas else whole india wud have been picking gobar instead scientific temper ,election,English
thats not the full video this video itself saying that thia situation made modi bhakts,election,English
"story gujarat when modi was its the year 2003when was denied minimum pay for his job
such ppl are now prefixing word their names without realizing how much hard work and responsibility even this job requires
",election,English
why only add 10th narendra modi ,election,English
cant the give credit2nehru for yesterdays asat missile test afterall was who foresaw that modi would become 2014 and would need election time gimmick2return2power and inspired his descendants ensure that drdoisro were cold storage till 2019,election,English
tavleen has her heart the right place shes pained seeing intolerance and injustice against muslims she has written articles about every one them she blames everyone but stops just short blaming her boss modi,election,English
"nhconstruction
29023 33yrs before1980 10279 btwen1980 1998
23814 vajpayee tenure
29735 yrs upa
39648 during modi govt
61164 ongoing highway construction
34800 bharatmala project 53031 new projects declared ",election,English
modi has failed jobs and prices and shows more than indians surveyed during mayjuly 2018the beginning the last year prime minister narendra modi’ governmentsaid the lack ,election,English
are kisko chahta bolo and vese bhi boys who care about modi humko kay modi equal opportunity right nahi rahe mans fir kay fayda unka,election,English
hats off you modi you are there make india powerful nation opposition parties are there make people india lazy and dependent will the loser you don’ become again ,election,English
"’ election time across asia and ’ ranting again
⠀⠀⠀⠀⠀⠀⠀⠀⠀
how and why india’ modi stands lose his huge parliamentary majority the upcoming polls ’ all about farmers ",election,English
theres international treaty space armament drawn somewhere europe india did not test this space weapon then how could become one the founding members that treaty you very well know this aspect yet simply criticize modi you talk get lost ,election,English
rahul gandhi jis proposal will carry higher weightage with simple poor voters bjp wasting time explaining arithmetic their schemed modi should announce better scheme else prepared sit opposition,election,English
slaves and jihadis pls dont watch this video modi rahul 2019 ,election,English
basic difference between modi and other party modi always tak 130 corers indians and other are only says dalits muslims minorities why are you always add peoples cast mayawati are only think about dalits what about upper cast why you differentiate indians,election,English
"only pidis like priyanka get confused and cant understand whats propoor modi gave over crore toilets pmkisan for poor farmers over crore cylinder connections electricity connection for all free healthcare under ayushman bharat
",election,English
you talk like many who want answer for everything from modi why should anyone speak word about tussle create more controversy maybe they will provide team and support everything takes time stalin theretheir wont any temples ,election,English
yes modi went pakistan mirage 2000 serve biriyanis very hot 1000 kilo biriyanis ,election,English
aimim chief criticises modi for launching merchandise ‘after all the jobless youth victims demo gst modi’ ilaaj buy tshirts from him’ ,election,English
modi pulled drdo after got presentation from drdo this happened late 2016,election,English
"just observation some comedians just take stances for the sake taking them you even know what youre promoting
they call some people modi bhakts but the real question how much money has given you blabber just because you can",election,English
inke sath tou modi busy hain  ,election,English
this not the time rebuild the party for 2024this the time see that bjp gets least possible seatsevery seat countsby giving aap getting triangular wont get any seat and bjp will take 3something better than nothingstupidity,election,English
breakingnews india modi says live address that the country has successfully testfired antisatellite weapon that destroyed lowearth orbit satellite ,election,English
swaminathan rahuls scheme not flawed seem speaking language master vineet jain who licker modi have brains then just see success manreg remember what peolle said about rgat time doesnt seem that time even adhaar was not12,election,English
within matter seconds from saying modi took credit for asat rajdeep gave credit mangalyan and chandrayan upa hypocrisy bhi hadd hoti,election,English
dont india has the luxury time its hands that merits waiting for modi educated swift boot the rear best for all concerned,election,English
when indira gandhi divided pakistan and bangladesh and pakistans 90000 soldiers surrendered before indian military can modi this,election,English
what are you crazy ,election,English
you tell why modi hide his wife name before 2014 election,election,English
world proud india modi congress only lootero,election,English
this probably get more likes from brainless bhakts ,election,English
wwe modi rahul gandhi election version fastlane via ,election,English
good great modi ,election,English
feel way abhinandans capture averted major crisis the domestic mood was suddenly favor securing his release first pakistan didnt give enough reasons for india escalate given that modi clearly not happy seems that his plans were derailed,election,English
and figured speech ,election,English
expecting modi announce doles counter pappus promise surely not happening that not how modi does politics expected continue with stating his vision poverty free doubling farmers incomes and strong india 2022,election,English
just like giving back medals after javed akhtar sameer slams narendra modi biopic have not written any song movies news ,election,English
don’ care about being disappointed all but these are the issues which every little stucco congress asking from modi govt can you please specify your called tough questions ,election,English
why don’ you talk about your achievements instead you are just creating chaos trying demean india and modi,election,English
just come jammu and see the ever jammed city roads emptyshops closed lol rushing modi rally venue unprecedented,election,English
the bjp spot slipping from 240 200 now hear back towards 160180 type number leading indicators that happening modi assassination plots timesnow nitin gadkari making statements ,election,English
"
narendra modi empowering indians providing them with  highquality health care
 affordable safe and adequate housing
 access clean water clean air clean surroundings required maintain healthy life
 adequate health insurance",election,English
exactly don’ want moron india ’ not about playing game mobile ’ about driving country forward modi can only don’ want nepotistic joker want leader ,election,English
inc didn’ nurture democracy and press freedom now modi and pandey,election,English
"modi provided cheaper electricity 100 population
people didnt use connections
congress modi failed
sad",election,English
you are not with modi you are with antiindia forces tejasvi suryas speech that made him internet sensation ,election,English
"breaking modi’ announces india’ antisatellite missile system with successful test against low earth orbit satellite codenamed mission shakti
",election,English
you will defeated comprehensively the agent british rule promoter dynastic ruler and corrupt party lord krishna visited this country destroy dynasts now modi came for the same purpose watch out,election,English
this face doesn’ haunt you condemn the abduction girls but they’ alive and wel also recorded message still our personally ordered action unlike modi who treats muslims just vote bank,election,English
"after watching program dil mange modi once more
",election,English
"watch ‘these lines have touched heart’ lata mangeshkar records modis poem for jawans and will give you goosebumps calls ‘inspiring’
",election,English
"behaviour from the israeli the risk being invited pakistan would expect similar from modi the saffron robed charlatan uttar pradesh and saw similar behaviour from trump
well the mind boggles from the saudi leadership",election,English
what has stopped modi bring dole promises after all indian voters will buy into fake loan waiver promises inc modi must announce pension scheme big budget scheme ,election,English
finally agrees that was doing politics the time pulwama truth always speaks and comes out even from the mouth world greatest liar modi all times bjp was denying his presence there,election,English
all you have managed convince not vote for narendra modi thats not problem our constitution precludes him from running for the office president still say your views appear emotionally driven base decisions logic and reasoning,election,English
might not bjpians but under modi are very very proud indians,election,English
for those who are saying modi government does not deserve any credit ,election,English
was asked bend before hitler modi gujju amit shah but this ghati crawling ,election,English
bjp side opportunity given young member other side they are just used for trolling  this enough vote for modi,election,English
this funny kunal kamra ostanding comedian his live feed says tho hates bjp theres way earth can ever vote for congress least bjp has ideology congress has absolutely thoughts manifesto besides thrash modi and win the election,election,English
modi promised gave lakh why not rahul uncapable give 72000×5360000 for year ,election,English
your father mulayam want see modi again are for modi are for please come and join movement contribute nation building,election,English
morongini long people like there will difficult defeat modi tks knows congress bring neghru more tlk abt walnut less neghru more vote swing towards bjp set nice trap dump heads never learn ,election,English
see the difference and the difference while casting your votes this election ,election,English
rahul jis excellent vision help youth modi vision loot money the form various taxes ,election,English
modi different economic times hindus from pakistan get indian citizenship via ,election,English
modi address bjp rally jammu ,election,English
fake promise now politics like losing and sold out news channel support him modi government under too much crime increase that reason ppl says ाेशबचा ,election,English
"day when talked about sanitation congress laughed and made fun that but
today only because focus modi the sanitation coverage has increased from miracle modi ",election,English
creating comparisons without context foolish clearly raga seems worried about losing amethi and hence has chosen wayanad quite unlike the bold modi move 2014 ,election,English
exactly that was the most stupid statement that boy and because that modi gave him ticket basically whoever says only modi right everyone else anti indian gets ticket for seats waah ाेशबचा,election,English
are ready welcome our countries progress are all ready welcome you are with our indias progress are with you modi ,election,English
then modi will shoot from asat,election,English
modi and nawazsharif have countless similarties,election,English
did ever asked modi how finance his schemes self promotion using crores public money himself building statue 9000 croreu dont guts even ask about intel failure pulwana chamcha ,election,English
pardon typo errors and won’ blame modi for ,election,English
the photo showing priyanka gandhi drinking water from clean ganga thats doing the rounds fake heres the truth behind catch more via ,election,English
modi asat missile will give new strength indias space programme assure international community that our capability wont used against anyone but indias defence initiative for its security were against arms raised space this test wont breach any intl law ,election,English
modus operandi jump anti modi story let reach thousands and then apologise why not verify tweeting anti modi stories compulsion ,election,English
come you talk indira rajiv now these two rahul priyanka were guardians such autonomy they too favored select institutions and they more than interfered many such institutions including the armed forces let not your dislike modi color your views,election,English
when comes pakistan problem favourite leader after modi jai hind,election,English
dumbo bimbooo could understand basic english these tweets modi asking raise awareness about participating voting isnt asking celebrities vote for him  only common sense was common,election,English
feku chor modi more attack oppositions the more ’ going loose the elections ,election,English
every modi haters right now  ,election,English
like you also human being and believe our country and prime minister modi but cant understand well educated and popular celebrity you supporting the most corrupted political family really you deserve punish from our society ,election,English
thought would say please watch narendra modi april aapke nazdeeki cinema ghar mein ,election,English
corruption glue that binds opposition modi northeast lok sabha elections hindustan times ,election,English
yes our expectations has increased due hope our modi,election,English
modi can give 350000 crore india’ richest then can the same for india’ poorest ,election,English
"all the best modi shaab for your final tool for mission2019
unfortunately all your tools are worthless more gimmicks pls",election,English
"
does this mean you will increase corruption rahul gandhi congress will remonetise what modi demonetised times india via ",election,English
you expect vote for rahul the best congress can give modi doing lot more for india than rahul has done for amethi think about that,election,English
please stop using populist ideas instead bring forth concrete plans otherwise your plan sounds exactly like modi’ and only that plans,election,English
"well there are chinapak agents all areas society including political parties
prime minister modi pulls the media and rightly – opindia news via ",election,English
spbsp alliance banks counter modiyogi east ,election,English
this uddam thakrey like dhobi gadhaghar ghatka saying modi our leader who opposition leader tell him rahul gandhi,election,English
